edgeID,startNode,endNode
edge1,node1
PHALL00904_PHALL01004,PHALL00904
PSTAI00105_PSTAI00104,PSTAI00105
PSTAI00104_PHALL03904,PSTAI00104
PSTAI00103_PHALL01903,PSTAI00103
PSTAI00103_PSTAI00102,PSTAI00103
PSTAI00103_PSTAI00304,PSTAI00103
PSTAI00102_PHALL01002,PSTAI00102
PSTAI00102_PSTAI00101,PSTAI00102
PDEPT01905_PHALL03405,PDEPT01905
PDEPT01202_PHALL02302,PDEPT01202
PHALL01105_PHALL01005,PHALL01105
PHALL03405_PHALL03305,PHALL03405
PHALL03405_PREST00305,PHALL03405
PHALL03404_PHALL02104,PHALL03404
PHALL03404_PCONF00304,PHALL03404
PHALL03404_PSERV00104,PHALL03404
PHALL01101_PHALL00601,PHALL01101
PHALL01101_PELEV00101,PHALL01101
PHALL01101_PSTAI00301,PHALL01101
PHALL01102_PDEPT01002,PHALL01102
PHALL01103_PHALL01003,PHALL01103
PHALL01103_PREST00103,PHALL01103
PHALL01103_PSTAI00203,PHALL01103
PHALL01103_PELEV00103,PHALL01103
PHALL01104_PHALL01004,PHALL01104
PHALL01104_PHALL01304,PHALL01104
PDEPT00902_PHALL01402,PDEPT00902
PHALL01905_PHALL01805,PHALL01905
PHALL01905_PHALL02005,PHALL01905
PDEPT00901_PHALL01601,PDEPT00901
PHALL01901_PHALL01701,PHALL01901
PHALL01901_PDEPT00201,PHALL01901
PHALL01901_PHALL02001,PHALL01901
PHALL01902_PHALL01802,PHALL01902
PHALL01902_PHALL02002,PHALL01902
PHALL01902_PHALL02502,PHALL01902
PHALL01903_PHALL01803,PHALL01903
PHALL01903_PHALL02003,PHALL01903
PDEPT00104_PHALL03804,PDEPT00104
PDEPT02404_PHALL00804,PDEPT02404
PHALL01904_PHALL01804,PHALL01904
PHALL01904_PSTAI00304,PHALL01904
PHALL01904_PHALL02004,PHALL01904
PDEPT00105_PHALL00405,PDEPT00105
PSERV00504_PHALL02804,PSERV00504
PSERV00503_PHALL02303,PSERV00503
PDEPT00904_PHALL02604,PDEPT00904
PDEPT00905_PHALL02005,PDEPT00905
PHALL02304_PHALL02204,PHALL02304
PHALL02304_PDEPT00504,PHALL02304
PHALL02305_PHALL02205,PHALL02305
PHALL02305_PHALL02805,PHALL02305
PHALL02301_PHALL02201,PHALL02301
PHALL02301_PSERV00101,PHALL02301
PHALL02302_PHALL02202,PHALL02302
PHALL02303_PHALL02203,PHALL02303
PHALL02303_PSERV00403,PHALL02303
PHALL00804_PHALL00704,PHALL00804
PHALL00803_PHALL00703,PHALL00803
PHALL00803_PDEPT00603,PHALL00803
PHALL00802_PHALL00702,PHALL00802
PHALL00802_PELEV00202,PHALL00802
PHALL00801_PHALL00701,PHALL00801
PHALL00801_PREST00201,PHALL00801
PDEPT01204_PHALL03104,PDEPT01204
PDEPT01205_PHALL02805,PDEPT01205
PHALL00805_PHALL00705,PHALL00805
PSTAI00205_PHALL03305,PSTAI00205
PSTAI00205_PSTAI00204,PSTAI00205
PSTAI00204_PHALL03704,PSTAI00204
PSTAI00203_PSTAI00202,PSTAI00203
PSTAI00203_PSTAI00504,PSTAI00203
PLAB00301_PHALL02201,PLAB00301
PSTAI00202_PSTAI00301,PSTAI00202
PSTAI00201_PHALL03101,PSTAI00201
PSTAI00201_PSTAI00404,PSTAI00201
PHALL01001_PDEPT00701,PHALL01001
PSTAI00405_PHALL02705,PSTAI00405
PSTAI00405_PSTAI00404,PSTAI00405
PHALL03305_PHALL03205,PHALL03305
PHALL01801_PHALL00601,PHALL01801
PHALL01801_PHALL01701,PHALL01801
PHALL01801_PDEPT00601,PHALL01801
